RunDetails_FileName,RunDetails_FilePath,RunDetails_LoadNumber,RunDetails_Equipment,RunDetails_RunRecipe,RunDetails_RunStart,RunDetails_RunEnd,RunDetails_RunDuration,RunDetails_FileLength,RunDetails_OperatorName,RunDetails_ExportControl,RunDetails_IP,PartInformation_Index,PartInformation_WorkOrder,PartInformation_PartNumber,PartInformation_PartDescription,PartInformation_ToolLocation,PartInformation_Comment1,PartInformation_Comment2,PartInformation_Comment3,PartInformation_PartTCs,PartInformation_PartProbes
AC2-07351.DAT,\\server1\AC2-DATA,7351,Autoclave #2,XB-Falcon-Body,2022-10-19T03:55:44,2022-10-19T20:25:32,989.80,190486,raymond,AU NSR,Third Party Disclosure Requires Written Approval,1,3558123,ACME-300,L/H Headlight,BACK LWR,L=53,,,TC35,MON51
AC2-07351.DAT,\\server1\AC2-DATA,7351,Autoclave #2,XB-Falcon-Body,2022-10-19T03:55:44,2022-10-19T20:25:32,989.80,190486,raymond,AU NSR,Third Party Disclosure Requires Written Approval,1,3558123,ACME-300,L/H Headlight,BACK LWR,L=53,,,TC36,MON51
AC2-07351.DAT,\\server1\AC2-DATA,7351,Autoclave #2,XB-Falcon-Body,2022-10-19T03:55:44,2022-10-19T20:25:32,989.80,190486,raymond,AU NSR,Third Party Disclosure Requires Written Approval,2,3558124,ACME-500,R/H Headlight,FRONT BOTTOM,L=35,,,TC13,MON11
AC2-07351.DAT,\\server1\AC2-DATA,7351,Autoclave #2,XB-Falcon-Body,2022-10-19T03:55:44,2022-10-19T20:25:32,989.80,190486,raymond,AU NSR,Third Party Disclosure Requires Written Approval,2,3558124,ACME-500,R/H Headlight,FRONT BOTTOM,L=35,,,TC13,MON12
AC2-07351.DAT,\\server1\AC2-DATA,7351,Autoclave #2,XB-Falcon-Body,2022-10-19T03:55:44,2022-10-19T20:25:32,989.80,190486,raymond,AU NSR,Third Party Disclosure Requires Written Approval,2,3558124,ACME-500,R/H Headlight,FRONT BOTTOM,L=35,,,TC14,MON11
AC2-07351.DAT,\\server1\AC2-DATA,7351,Autoclave #2,XB-Falcon-Body,2022-10-19T03:55:44,2022-10-19T20:25:32,989.80,190486,raymond,AU NSR,Third Party Disclosure Requires Written Approval,2,3558124,ACME-500,R/H Headlight,FRONT BOTTOM,L=35,,,TC14,MON12
AC2-07351.DAT,\\server1\AC2-DATA,7351,Autoclave #2,XB-Falcon-Body,2022-10-19T03:55:44,2022-10-19T20:25:32,989.80,190486,raymond,AU NSR,Third Party Disclosure Requires Written Approval,2,3558124,ACME-500,R/H Headlight,FRONT BOTTOM,L=35,,,TC15,MON11
AC2-07351.DAT,\\server1\AC2-DATA,7351,Autoclave #2,XB-Falcon-Body,2022-10-19T03:55:44,2022-10-19T20:25:32,989.80,190486,raymond,AU NSR,Third Party Disclosure Requires Written Approval,2,3558124,ACME-500,R/H Headlight,FRONT BOTTOM,L=35,,,TC15,MON12
AC2-07351.DAT,\\server1\AC2-DATA,7351,Autoclave #2,XB-Falcon-Body,2022-10-19T03:55:44,2022-10-19T20:25:32,989.80,190486,raymond,AU NSR,Third Party Disclosure Requires Written Approval,3,3558125,ACME-100,Left Qtr Panel,BACK TOP,L=57,,,TC9,MON44
AC2-07351.DAT,\\server1\AC2-DATA,7351,Autoclave #2,XB-Falcon-Body,2022-10-19T03:55:44,2022-10-19T20:25:32,989.80,190486,raymond,AU NSR,Third Party Disclosure Requires Written Approval,3,3558125,ACME-100,Left Qtr Panel,BACK TOP,L=57,,,TC10,MON44
AC2-07351.DAT,\\server1\AC2-DATA,7351,Autoclave #2,XB-Falcon-Body,2022-10-19T03:55:44,2022-10-19T20:25:32,989.80,190486,raymond,AU NSR,Third Party Disclosure Requires Written Approval,4,3558126,ACME-200,Right Qtr Panel,TOP FRONT,L=30,,,TC39,MON29
AC2-07351.DAT,\\server1\AC2-DATA,7351,Autoclave #2,XB-Falcon-Body,2022-10-19T03:55:44,2022-10-19T20:25:32,989.80,190486,raymond,AU NSR,Third Party Disclosure Requires Written Approval,4,3558126,ACME-200,Right Qtr Panel,TOP FRONT,L=30,,,TC39,MON30
AC2-07351.DAT,\\server1\AC2-DATA,7351,Autoclave #2,XB-Falcon-Body,2022-10-19T03:55:44,2022-10-19T20:25:32,989.80,190486,raymond,AU NSR,Third Party Disclosure Requires Written Approval,4,3558126,ACME-200,Right Qtr Panel,TOP FRONT,L=30,,,TC40,MON29
AC2-07351.DAT,\\server1\AC2-DATA,7351,Autoclave #2,XB-Falcon-Body,2022-10-19T03:55:44,2022-10-19T20:25:32,989.80,190486,raymond,AU NSR,Third Party Disclosure Requires Written Approval,4,3558126,ACME-200,Right Qtr Panel,TOP FRONT,L=30,,,TC40,MON30
AC2-07351.DAT,\\server1\AC2-DATA,7351,Autoclave #2,XB-Falcon-Body,2022-10-19T03:55:44,2022-10-19T20:25:32,989.80,190486,raymond,AU NSR,Third Party Disclosure Requires Written Approval,4,3558126,ACME-200,Right Qtr Panel,TOP FRONT,L=30,,,TC41,MON29
AC2-07351.DAT,\\server1\AC2-DATA,7351,Autoclave #2,XB-Falcon-Body,2022-10-19T03:55:44,2022-10-19T20:25:32,989.80,190486,raymond,AU NSR,Third Party Disclosure Requires Written Approval,4,3558126,ACME-200,Right Qtr Panel,TOP FRONT,L=30,,,TC41,MON30
